ecg (ms)	filtered ecg (ms2)
-0.0018312	0.0000054
-0.001526	0.0000057
0.0054935	0.0000059
0.0064091	0.000006
0.0106818	0.0000062
0.0112922	0.0000063
0.0164805	0.0000063
0.0161753	0.0000063
0.0231948	0.0000063
0.0262467	0.0000062
0.0335714	0.0000061
0.0338766	0.0000061
0.0387597	0.000006
0.0366233	0.000006
0.0363181	0.000006
0.031435	0.000006
0.0280779	0.000006
0.0198376	0.000006
0.0173961	0.000006
0.0119026	0.000006
0.0112922	0.000006
0.0097662	0.0000061
0.0128182	0.0000061
0.0115974	0.0000062
0.0180065	0.0000063
0.0173961	0.0000064
0.0247207	0.0000066
0.0265519	0.0000067
0.031435	0.0000069
0.031435	0.000007
0.034487	0.0000072
0.0308246	0.0000075
0.0302142	0.0000078
0.0262467	0.0000081
0.0241104	0.0000084
0.0207532	0.0000089
0.0192272	0.0000093
0.020448	0.0000098
0.0210584	0.0000102
0.0189221	0.0000107
0.0149545	0.0000111
0.0076299	0.0000115
-0.0018312	0.0000117
-0.0122078	0.0000119
-0.0195324	0.0000119
-0.0262467	0.0000119
-0.0274675	0.000012
-0.0265519	0.000012
-0.0222792	0.0000122
-0.0180065	0.0000124
-0.0115974	0.0000126
-0.0067143	0.0000129
-0.0030519	0.0000133
-0.0036623	0.0000137
-0.0039675	0.0000143
-0.0079351	0.0000149
-0.0088506	0.0000155
-0.0140389	0.0000163
-0.0180065	0.0000171
-0.0222792	0.000018
-0.0268571	0.0000189
-0.0299091	0.0000199
-0.0323506	0.000021
-0.0341818	0.0000221
-0.0326558	0.0000235
-0.0311298	0.0000249
-0.0277727	0.0000265
-0.0222792	0.0000283
-0.0170909	0.0000302
-0.0146493	0.0000323
-0.0143441	0.0000345
-0.0134286	0.0000369
-0.0152597	0.0000395
-0.0143441	0.0000424
-0.0149545	0.0000455
-0.0137337	0.0000489
-0.0122078	0.0000526
-0.0115974	0.0000567
-0.0112922	0.000061
-0.009461	0.0000658
-0.0100714	0.0000709
-0.0085454	0.0000765
-0.0112922	0.0000826
-0.0146493	0.0000891
-0.0198376	0.0000962
-0.0238052	0.0001038
-0.0292987	0.000112
-0.0308246	0.0001209
-0.0332662	0.0001305
-0.0292987	0.000141
-0.0280779	0.0001523
-0.0231948	0.0001645
-0.0210584	0.0001777
-0.0167857	0.000192
-0.0173961	0.0002075
-0.0140389	0.0002243
